Title,Authors,Dates Read,Moods,Star Rating,,
The Kandy-Kolored Tangerine-Flake Streamline Baby,Tom Wolfe,2022/11/07-2022/11/25,,3,,
Star 111,Lutz Seiler,2025/05/22-2025/06/04,"adventurous, emotional, hopeful, inspiring, reflective, sad",5,,
Hamnet,Maggie O'Farrell,2022/01/25-2022/02/17,,3.5,,
The Hogfather,"Terry Pratchett, Terry Pratchett",2024/09/28-2024/10/18,,4.5,,
Hungry Ghosts,Kevin Jared Hosein,2024/09/05-2024/09/10,,3,,
The Virgin Suicides,Jeffrey Eugenides,2022/02/25-2022/03/04,,5,,
Leaves of Grass,Walt Whitman,2023/05/29-2023/06/01,,3,,
Brian,Jeremy Cooper,2024/01/25-2024/02/04,,4.5,,
Porn: An Oral History,Polly Barton,2024/02/12-2024/02/24,,3.5,,
Look Into My Eyes,Lauren Child,2022/05/24-2022/05/28,,4,,
Heatwave,Victor Jestin,2022/09/07-2022/09/08,,3.5,,
Junky,William S. Burroughs,2023/12/18-2023/12/19,,2.5,,
Epitaphs for Underdogs,Andrew Szepessy,2023/08/01-2023/08/04,,5,,
These Violent Delights,Micah Nemerever,2022/08/25-2022/08/26,,0.5,,
Orlam,PJ Harvey,2024/05/25-2024/05/25,,5,,
The Right Stuff,Tom Wolfe,2025/06/22-2025/06/23,"adventurous, hopeful, informative, inspiring, reflective",5,,
"Estoril, a war novel",Dejan Tiago-Stanković,2025/08/03-2025/08/06,"emotional, funny, hopeful, informative, inspiring, lighthearted, mysterious, sad",4,,
Oryx and Crake,Margaret Atwood,2025/09/16-2025/09/22,"adventurous, challenging, dark, emotional, mysterious, sad, tense",5,,
Cigarettes,Harry Mathews,2024/01/19-2024/01/25,,2,,
Other People's Clothes,Calla Henkel,2023/05/07-2023/05/11,,3,,
Butter: A Novel of Food and Murder,Asako Yuzuki,2024/05/25-2024/06/04,,4.5,,
I Know Why the Caged Bird Sings,Maya Angelou,2025/08/30-2025/09/02,"emotional, hopeful, inspiring, reflective",4,,
The Underground Railroad,Colson Whitehead,2025/09/03-2025/09/07,"adventurous, dark, emotional, hopeful, reflective, sad, tense",3.5,,
Catch-22,Joseph Heller,2024/06/10-2024/06/24,,5,,
